config,hypo,universe,action_scale,l2,K,cvar_weight,cvar_alpha,residual_l2,vol_floor,features,stress_power,ensemble,val_cvar,val_dv,val_excess,test_cvar,test_dv,test_excess,test_seed_std
C_as1.0_vf0.25_rl210.0_cw3.0,combo,slv,1.0,0.001,8,3.0,0.95,10.0,0.25,full,0.0,False,-0.008980389292255505,0.006563300201661867,-0.015543689493917372,0.15638853834285515,0.15494845435326088,0.0014400839895942763,0.003551840270915617
C_as1.0_vf0.25_rl2100.0_cw1.0,combo,slv,1.0,0.001,8,1.0,0.95,100.0,0.25,full,0.0,False,0.003713580860452221,0.006563300201661867,-0.002849719341209646,0.15437575688625113,0.15494845435326088,-0.0005726974670097473,0.0005366758860834767
C_as1.0_vf0.25_rl2100.0_cw3.0,combo,slv,1.0,0.001,8,3.0,0.95,100.0,0.25,full,0.0,False,0.0011337133376769601,0.006563300201661867,-0.005429586863984907,0.15370905992865166,0.15494845435326088,-0.0012393944246092137,0.0015527693615803614
C_as1.0_vfNone_rl20.0_cw1.0,combo,slv,1.0,0.001,8,1.0,0.95,0.0,,full,0.0,False,0.014227244850799242,0.006563300201661867,0.007663944649137375,0.16425805361983456,0.15494845435326088,0.009309599266573682,0.014532312336705155
C_as1.0_vfNone_rl20.0_cw3.0,combo,slv,1.0,0.001,8,3.0,0.95,0.0,,full,0.0,False,0.0032799871568585403,0.006563300201661867,-0.003283313044803327,0.17582167676276028,0.15494845435326088,0.020873222409499403,0.008879701218130955
C_as1.0_vfNone_rl210.0_cw1.0,combo,slv,1.0,0.001,8,1.0,0.95,10.0,,full,0.0,False,0.0010072708994108461,0.006563300201661867,-0.005556029302251021,0.15298424010029152,0.15494845435326088,-0.0019642142529693596,0.0023412876913060554
C_as1.0_vfNone_rl210.0_cw3.0,combo,slv,1.0,0.001,8,3.0,0.95,10.0,,full,0.0,False,0.0009407118689062412,0.006563300201661867,-0.0056225883327556255,0.15841436553240115,0.15494845435326088,0.003465911179140274,0.007817876066821508
C_as1.0_vfNone_rl2100.0_cw1.0,combo,slv,1.0,0.001,8,1.0,0.95,100.0,,full,0.0,False,0.0031391283407293975,0.006563300201661867,-0.0034241718609324696,0.1516494346217553,0.15494845435326088,-0.0032990197315055647,0.001944947406718916
C_as1.0_vfNone_rl2100.0_cw3.0,combo,slv,1.0,0.001,8,3.0,0.95,100.0,,full,0.0,False,0.0020942991636867295,0.006563300201661867,-0.004469001037975137,0.15391232310772004,0.15494845435326088,-0.0010361312455408334,0.001273963817733742
H6_ensemble,H6,slv,1.0,0.001,8,1.0,0.95,0.0,0.25,full,0.0,True,-0.00982115603208626,0.006563300201661867,-0.016384456233748127,0.17041189742501803,0.15494845435326088,0.01546344307175715,0.0
H7_stress1.0,H7,slv,1.0,0.001,8,1.0,0.95,0.0,0.25,full,1.0,False,0.07943583833096374,0.006563300201661867,0.07287253812930188,0.16458107010059028,0.15494845435326088,0.009632615747329404,0.014018388129630941
H7_stress2.0,H7,slv,1.0,0.001,8,1.0,0.95,0.0,0.25,full,2.0,False,0.1150764151451193,0.006563300201661867,0.10851311494345744,0.19850487736861414,0.15494845435326088,0.04355642301535326,0.016500654663788958
H7_stress3.0,H7,slv,1.0,0.001,8,1.0,0.95,0.0,0.25,full,3.0,False,0.46879865848154445,0.006563300201661867,0.4622353582798826,0.48313065554113965,0.15494845435326088,0.3281822011878788,0.2210076682715053
